# FACILITY: LCO
# DATE-OBS: 2023-09-12
wavelength flux
3.678195385001251907e+03 1.334161624999999914e-14
3.679918234261347152e+03 1.326209874999999932e-14
3.681641083521442397e+03 1.336909624999999934e-14
3.683363932781537642e+03 1.272580374999999955e-14
3.685086782041633342e+03 1.262609499999999992e-14
3.686809631301728587e+03 1.241619749999999896e-14
3.688532480561823832e+03 1.319530374999999978e-14
3.690255329821919076e+03 1.379740749999999996e-14
3.691978179082014321e+03 1.339046749999999970e-14
3.693701028342109566e+03 1.348345124999999999e-14
3.695423877602204811e+03 1.265222624999999998e-14
3.697146726862300056e+03 1.292606624999999971e-14
3.698869576122395301e+03 1.301836124999999937e-14
3.700592425382491001e+03 1.262885874999999931e-14
3.702315274642586246e+03 1.275053374999999946e-14
3.704038123902681491e+03 1.293136874999999957e-14
3.705760973162776736e+03 1.182932624999999996e-14
3.707483822422871981e+03 1.225344499999999967e-14
3.709206671682967226e+03 1.299211499999999950e-14
3.710929520943062471e+03 1.285548625000000005e-14
3.712652370203157716e+03 1.246676999999999885e-14
3.714375219463253416e+03 1.316267249999999932e-14
3.716098068723348661e+03 1.355269874999999974e-14
3.717820917983443906e+03 1.281930624999999953e-14
3.719543767243539151e+03 1.311336749999999999e-14
3.721266616503634395e+03 1.331059000000000001e-14
3.722989465763729640e+03 1.269380749999999993e-14
3.724712315023824885e+03 1.309608999999999938e-14
3.726435164283920130e+03 1.353150374999999921e-14
3.728158013544015375e+03 1.271864374999999964e-14
3.729880862804111075e+03 1.281095874999999886e-14
3.731603712064206320e+03 1.274281124999999985e-14
3.733326561324301565e+03 1.310330499999999885e-14
3.735049410584396810e+03 1.281463749999999917e-14
3.736772259844492055e+03 1.281249499999999995e-14
3.738495109104587300e+03 1.323337124999999968e-14
3.740217958364682545e+03 1.337867749999999877e-14
3.741940807624778245e+03 1.333921499999999917e-14
3.743663656884873490e+03 1.380768625000000002e-14
3.745386506144968735e+03 1.359917749999999989e-14
3.747109355405063980e+03 1.355126749999999868e-14
3.748832204665159225e+03 1.296789874999999860e-14
3.750555053925254470e+03 1.217607749999999931e-14
