2457790.87530 16.343 0.008 6.05 721.0
2457791.87039 16.339 0.008 5.79 624.0
2457792.86667 16.339 0.009 6.98 768.0
2457793.86408 16.341 0.008 5.10 778.0
2457794.86901 16.353 0.010 6.58 990.0
2457795.87700 16.344 0.010 6.15 965.0
2457796.89171 16.359 0.009 4.34 1553.0
2457797.88766 16.334 0.008 4.62 1087.0
2457798.88903 16.363 0.009 4.68 1057.0
2457799.88207 16.358 0.009 5.28 779.0
2457800.87887 16.340 0.007 4.64 646.0
2457801.85941 16.402 0.010 6.35 871.0
2457802.84531 16.372 0.010 6.53 722.0
2457803.83936 16.374 0.010 5.49 1203.0
2457803.88598 16.363 0.009 4.92 1150.0
2457807.85683 16.358 0.007 5.19 527.0
2457808.82347 16.364 0.011 7.83 553.0
2457809.81778 16.372 0.009 6.83 594.0
2457809.86775 16.341 0.009 6.30 549.0
2457810.81689 16.361 0.008 5.34 597.0
2457810.86268 16.345 0.008 5.20 547.0
2457811.82264 16.353 0.010 7.31 601.0
2457811.86812 16.341 0.008 5.98 539.0
2457812.83768 16.348 0.008 5.10 586.0
2457812.88413 16.341 0.007 4.15 547.0
2457813.82863 16.350 0.008 5.37 638.0
2457814.83824 16.343 0.007 5.28 547.0
2457814.88599 16.326 0.006 4.01 497.0
2457815.84995 16.341 0.007 4.62 561.0
2457815.89687 16.345 0.007 4.45 537.0
2457816.84168 16.355 0.008 5.21 562.0
2457816.88702 16.378 0.009 5.72 515.0
2457817.83833 16.361 0.008 4.79 619.0
2457817.88360 16.340 0.006 3.79 560.0
2457818.82455 16.358 0.006 4.81 556.0
2457818.86968 16.339 0.007 4.36 530.0
2457819.80437 16.396 0.009 6.83 551.0
2457819.84945 16.337 0.007 4.78 513.0
2457819.90177 16.356 0.007 4.14 599.0
2457820.85892 16.345 0.007 4.51 568.0
2457820.90382 16.335 0.007 4.06 619.0
2457821.84196 16.400 0.009 5.76 618.0
2457821.88656 16.362 0.009 5.67 601.0
2457822.82425 16.346 0.009 6.23 790.0
2457822.86894 16.358 0.008 5.13 592.0
2457823.80988 16.352 0.009 5.47 840.0
2457823.85420 16.336 0.007 4.34 723.0
2457823.89885 16.337 0.007 4.44 630.0
2457824.85032 16.328 0.009 5.82 768.0
2457824.89486 16.360 0.009 6.16 710.0
2457825.84203 16.332 0.008 5.48 718.0
2457825.88636 16.354 0.007 4.69 681.0
2457826.80033 16.330 0.008 5.12 822.0
2457826.84556 16.338 0.008 4.93 757.0
2457826.89023 16.339 0.008 5.09 693.0
2457827.81936 16.342 0.008 4.84 701.0
2457827.86373 16.336 0.007 4.60 629.0
2457827.90861 16.329 0.007 4.04 731.0
2457828.83317 16.319 0.008 5.40 696.0
2457828.87778 16.335 0.007 4.68 636.0
2457829.81057 16.349 0.008 5.46 796.0
2457830.78859 16.335 0.008 4.59 1361.0
2457830.82370 16.318 0.008 4.86 954.0
2457830.86614 16.342 0.008 4.81 978.0
2457830.90538 16.317 0.007 4.07 703.0
2457834.81634 16.348 0.007 4.88 541.0
2457834.86346 16.357 0.008 5.83 538.0
2457834.91052 16.351 0.007 5.05 587.0
2457835.78358 16.408 0.010 6.75 517.0
2457835.90888 16.374 0.009 6.31 580.0
2457836.79890 16.394 0.010 6.82 516.0
2457836.84779 16.348 0.007 5.01 465.0
2457836.89483 16.352 0.008 5.84 480.0
2457837.76644 16.365 0.008 6.13 485.0
2457837.81276 16.338 0.007 5.31 450.0
2457837.85930 16.346 0.007 5.15 468.0
2457837.90727 16.381 0.011 7.07 546.0
2457838.78162 16.349 0.008 5.96 538.0
2457838.83715 16.337 0.007 4.59 509.0
2457838.88449 16.349 0.007 4.86 513.0
2457839.74379 16.334 0.007 5.29 471.0
2457839.80304 16.338 0.006 4.11 433.0
2457839.84992 16.338 0.006 3.78 427.0
2457839.90176 16.329 0.006 3.64 439.0
2457840.76118 16.364 0.009 6.27 509.0
2457840.81317 16.349 0.008 5.67 464.0
2457840.86388 16.358 0.008 5.27 464.0
2457840.91241 16.342 0.007 4.62 509.0
2457841.78857 16.375 0.010 7.32 496.0
2457841.83463 16.345 0.008 5.83 477.0
2457841.88325 16.382 0.010 6.74 515.0
2457842.73629 16.404 0.011 7.81 526.0
2457842.78267 16.384 0.009 5.99 479.0
2457842.82854 16.348 0.007 5.18 469.0
2457842.87524 16.359 0.008 5.45 497.0
2457843.75155 16.337 0.007 5.32 470.0
2457843.79762 16.359 0.008 5.22 446.0
2457843.85314 16.340 0.008 6.08 452.0
2457843.90059 16.332 0.007 4.71 432.0
2457844.74798 16.343 0.007 5.52 482.0
2457844.80328 16.334 0.007 4.81 442.0
2457844.84921 16.373 0.010 6.86 479.0
2457844.89723 16.342 0.008 5.74 474.0
2457845.74124 16.366 0.010 7.04 529.0
2457845.79657 16.332 0.007 4.59 473.0
2457845.84271 16.337 0.007 4.36 444.0
2457845.88990 16.334 0.008 5.36 463.0
2457846.74306 16.355 0.009 6.72 490.0
2457846.78867 16.333 0.008 5.87 464.0
2457846.83464 16.331 0.007 4.59 443.0
2457846.88116 16.327 0.007 4.55 462.0
2457847.72272 16.380 0.009 6.60 524.0
2457847.76868 16.344 0.007 5.12 481.0
2457847.81457 16.335 0.007 4.72 465.0
2457847.87103 16.346 0.008 5.60 474.0
2457847.92026 16.343 0.008 4.90 699.0
2457848.75176 16.358 0.009 6.84 518.0
2457848.79765 16.349 0.007 5.14 443.0
2457848.84389 16.330 0.007 4.69 450.0
2457848.90244 16.340 0.007 4.66 446.0
2457849.73394 16.327 0.008 5.86 616.0
2457849.78038 16.347 0.007 4.74 490.0
2457849.82611 16.339 0.006 3.92 451.0
2457849.88362 16.322 0.006 3.77 449.0
2457850.71550 16.381 0.009 5.79 671.0
2457850.76143 16.349 0.008 5.43 614.0
2457850.80782 16.341 0.007 4.67 536.0
2457850.86493 16.317 0.007 4.53 465.0
2457850.91305 16.357 0.008 5.50 494.0
2457851.74845 16.337 0.009 5.61 677.0
2457851.79448 16.348 0.008 5.53 612.0
2457851.84101 16.331 0.007 4.63 550.0
2457851.90049 16.339 0.007 4.75 484.0
2457852.82163 16.370 0.010 6.76 591.0
2457852.87019 16.348 0.009 6.76 539.0
2457853.85724 16.368 0.010 6.80 616.0
2457853.90310 16.343 0.009 6.03 569.0
2457854.70514 16.347 0.008 5.47 886.0
2457854.74851 16.349 0.007 4.60 756.0
2457854.80385 16.345 0.007 4.25 672.0
2457854.85205 16.347 0.008 4.89 652.0
2457854.90095 16.333 0.007 3.56 639.0
2457855.74719 16.330 0.007 4.42 812.0
2457855.79402 16.341 0.008 4.93 750.0
2457855.84173 16.352 0.007 4.64 704.0
2457855.90111 16.334 0.007 4.22 653.0
2457856.72334 16.393 0.013 7.56 846.0
2457856.77126 16.360 0.010 6.09 731.0
2457856.82046 16.379 0.010 6.46 713.0
2457856.87001 16.372 0.010 6.19 697.0
2457857.83448 16.351 0.013 6.86 1335.0
2457857.87336 16.371 0.011 6.10 1046.0
2457857.90148 16.351 0.009 5.53 722.0
2457858.77038 16.325 0.007 4.20 704.0
2457858.78194 16.352 0.008 5.07 691.0
2457858.79450 16.348 0.007 4.64 678.0
2457858.80719 16.333 0.007 4.71 702.0
2457858.81860 16.330 0.007 4.70 700.0
2457858.82985 16.338 0.008 4.87 983.0
2457858.84118 16.324 0.008 5.15 749.0
2457858.85482 16.350 0.009 5.66 728.0
2457858.87110 16.337 0.007 4.82 666.0
2457858.88395 16.336 0.008 5.42 676.0
2457858.90369 16.336 0.008 4.83 706.0
2457858.91821 16.345 0.007 4.77 664.0
2457862.71510 16.375 0.009 6.45 602.0
2457862.76173 16.381 0.010 6.32 595.0
2457862.80906 16.347 0.008 5.34 555.0
2457862.85754 16.352 0.008 5.59 575.0
2457862.91761 16.358 0.008 4.60 546.0
2457863.78690 16.344 0.008 5.33 538.0
2457863.85851 16.344 0.007 4.90 535.0
2457863.91878 16.339 0.007 4.34 561.0
2457864.74529 16.342 0.007 5.05 472.0
2457864.82888 16.328 0.006 4.05 475.0
2457864.88027 16.334 0.006 4.05 509.0
2457865.67173 16.337 0.007 5.24 508.0
2457865.71741 16.341 0.007 5.12 512.0
2457865.76335 16.327 0.007 4.32 504.0
2457865.82160 16.341 0.006 3.80 520.0
2457865.88669 16.327 0.006 3.66 584.0
2457866.68254 16.346 0.007 4.94 521.0
2457866.72915 16.334 0.007 4.97 511.0
2457866.77556 16.338 0.006 3.92 497.0
2457866.84283 16.345 0.007 4.09 527.0
2457866.89312 16.329 0.006 3.19 504.0
2457867.70138 16.344 0.007 4.63 492.0
2457867.74819 16.327 0.006 3.93 461.0
2457867.80407 16.337 0.006 3.55 460.0
2457867.86349 16.342 0.007 4.30 476.0
2457867.91078 16.328 0.007 4.20 483.0
2457868.77369 16.344 0.009 6.31 517.0
2457868.83372 16.344 0.010 6.84 549.0
2457868.89746 16.342 0.010 6.56 566.0
2457869.69270 16.322 0.007 5.25 488.0
2457869.74177 16.337 0.007 4.61 488.0
2457869.78800 16.327 0.007 4.22 478.0
2457869.85602 16.334 0.007 4.15 489.0
2457869.90449 16.327 0.006 3.61 533.0
2457870.72129 16.332 0.006 4.27 443.0
2457870.76868 16.334 0.006 3.69 434.0
2457870.83533 16.343 0.007 4.32 459.0
2457870.88366 16.338 0.007 4.09 482.0
2457870.93118 16.346 0.008 4.60 985.0
2457871.73798 16.336 0.007 4.13 519.0
2457871.78432 16.334 0.006 3.63 498.0
2457871.85653 16.339 0.007 3.83 476.0
2457871.91023 16.333 0.007 3.67 513.0
2457872.68445 16.335 0.007 4.67 524.0
2457872.75324 16.331 0.006 3.56 497.0
2457872.82071 16.323 0.006 3.16 465.0
2457872.88452 16.333 0.006 3.41 503.0
2457872.93313 16.344 0.008 3.71 1185.0
2457873.70216 16.327 0.007 4.75 511.0
2457873.74816 16.341 0.006 3.81 485.0
2457873.79500 16.336 0.006 3.80 445.0
2457873.86419 16.338 0.007 3.88 520.0
2457873.91483 16.354 0.007 4.30 518.0
2457874.67766 16.331 0.008 5.82 561.0
2457874.73263 16.359 0.009 6.55 552.0
2457874.78911 16.357 0.009 5.94 530.0
2457874.83828 16.368 0.009 6.47 553.0
2457874.88687 16.329 0.007 3.91 547.0
2457874.93331 16.347 0.008 4.82 928.0
2457875.82652 16.350 0.006 4.55 827.0
2457875.88514 16.352 0.007 4.56 592.0
2457875.92249 16.340 0.007 4.62 682.0
2457876.67343 16.379 0.010 6.88 674.0
2457876.72026 16.346 0.008 5.50 595.0
2457876.77825 16.341 0.007 4.48 543.0
2457876.84257 16.346 0.007 4.17 540.0
2457876.89004 16.346 0.007 4.45 557.0
2457877.65153 16.332 0.008 5.56 638.0
2457877.69758 16.338 0.007 4.41 559.0
2457877.75419 16.339 0.006 3.41 493.0
2457877.81245 16.328 0.006 3.23 503.0
2457877.86219 16.363 0.007 3.94 601.0
2457878.65659 16.344 0.008 5.75 727.0
2457878.75049 16.342 0.006 3.50 568.0
2457878.80874 16.330 0.006 3.28 496.0
2457878.86928 16.339 0.007 3.71 511.0
2457878.91532 16.331 0.006 3.57 566.0
2457879.67810 16.382 0.009 6.36 646.0
2457879.72449 16.374 0.010 6.49 626.0
2457879.77051 16.370 0.008 5.06 648.0
2457879.86170 16.400 0.011 6.95 585.0
2457880.67635 16.351 0.009 6.49 639.0
2457880.72236 16.366 0.008 5.75 613.0
2457880.76869 16.360 0.008 5.28 615.0
2457880.82878 16.368 0.009 6.12 636.0
2457880.88331 16.362 0.009 5.75 611.0
2457881.76732 16.369 0.011 7.10 716.0
2457881.81679 16.354 0.008 5.10 654.0
2457881.86639 16.344 0.008 4.92 705.0
2457881.92109 16.364 0.010 6.58 669.0
2457882.71178 16.348 0.009 6.48 688.0
2457882.75765 16.355 0.009 5.69 666.0
2457882.82632 16.353 0.008 5.24 688.0
2457882.87367 16.357 0.009 5.61 743.0
2457882.92930 16.324 0.007 4.74 622.0
2457889.88981 16.358 0.013 6.43 1877.0
2457889.93708 16.403 0.012 6.42 1390.0
2457890.72561 16.359 0.008 5.01 657.0
2457890.79391 16.404 0.012 7.17 764.0
2457890.86895 16.363 0.009 5.70 741.0
2457893.67309 16.374 0.009 6.48 547.0
2457893.71944 16.383 0.009 6.21 567.0
2457893.77537 16.369 0.009 6.13 576.0
2457893.83337 16.340 0.008 4.91 539.0
2457893.88076 16.344 0.007 4.69 571.0
2457893.92676 16.359 0.008 5.08 642.0
2457894.61621 16.399 0.011 8.09 634.0
2457894.65691 16.323 0.007 5.36 568.0
2457894.71235 16.347 0.007 4.57 493.0
2457894.76825 16.345 0.007 4.96 491.0
2457894.81575 16.350 0.007 4.71 506.0
2457894.86258 16.340 0.007 4.09 535.0
2457894.90928 16.353 0.008 4.86 564.0
2457895.60363 16.371 0.010 7.19 683.0
2457895.67883 16.343 0.007 5.53 663.0
2457895.79869 16.354 0.007 4.90 582.0
2457897.66730 16.336 0.009 6.11 537.0
2457897.71420 16.349 0.008 5.79 524.0
2457897.77126 16.348 0.007 4.79 622.0
2457900.90707 16.370 0.011 7.24 582.0
2457900.93890 16.372 0.011 7.56 660.0
2457901.63527 16.333 0.008 6.28 544.0
2457901.68453 16.359 0.008 6.35 557.0
2457901.76427 16.338 0.008 6.06 562.0
2457901.82306 16.333 0.008 5.00 527.0
2457902.59671 16.362 0.010 7.48 578.0
2457902.63985 16.361 0.010 7.20 546.0
2457902.68719 16.339 0.007 4.43 488.0
2457902.74720 16.338 0.007 5.11 497.0
2457902.80318 16.332 0.007 4.74 539.0
2457902.90110 16.313 0.009 6.46 725.0
2457903.75074 16.378 0.010 6.85 497.0
2457903.80889 16.345 0.008 5.08 495.0
2457903.86469 16.341 0.008 4.82 550.0
2457903.91086 16.338 0.008 5.45 598.0
2457904.60874 16.359 0.009 6.84 550.0
2457904.65416 16.362 0.008 6.01 498.0
2457904.70768 16.335 0.006 4.37 435.0
2457904.76709 16.329 0.007 3.96 446.0
2457904.81539 16.329 0.007 4.05 459.0
2457904.86160 16.328 0.007 4.31 505.0
2457904.90714 16.346 0.008 5.49 576.0
2457905.57375 16.353 0.009 6.91 613.0
2457905.62102 16.353 0.008 5.46 534.0
2457905.66763 16.331 0.006 4.08 473.0
2457905.72295 16.342 0.007 4.27 467.0
2457905.78164 16.330 0.007 3.96 496.0
2457905.82857 16.345 0.007 3.75 534.0
2457905.87627 16.342 0.007 4.04 605.0
2457905.93198 16.344 0.008 4.86 665.0
2457906.58471 16.342 0.008 5.64 657.0
2457906.63062 16.334 0.007 4.50 540.0
2457906.68770 16.336 0.006 3.68 507.0
2457906.74403 16.331 0.006 3.28 496.0
2457906.79452 16.340 0.007 3.85 548.0
2457906.84114 16.338 0.007 4.28 605.0
2457906.88789 16.340 0.007 4.13 686.0
2457906.93408 16.345 0.008 5.01 859.0
2457907.62901 16.352 0.008 5.51 781.0
2457907.68284 16.333 0.007 4.21 630.0
2457907.73092 16.335 0.007 4.12 609.0
2457907.76722 16.351 0.007 4.65 606.0
2457908.56645 16.372 0.011 7.43 865.0
2457908.60075 16.366 0.009 6.24 743.0
2457908.64706 16.347 0.008 5.21 663.0
2457908.70246 16.349 0.007 4.30 590.0
2457908.76072 16.339 0.008 5.10 679.0
2457908.80837 16.349 0.008 4.99 557.0
2457908.85485 16.348 0.007 4.37 545.0
2457908.90160 16.335 0.008 4.80 682.0
2457908.93323 16.341 0.008 5.24 794.0
2457909.57920 16.346 0.009 5.63 904.0
2457909.62733 16.342 0.008 4.86 683.0
2457909.68389 16.343 0.007 4.24 630.0
2457909.73097 16.336 0.007 3.55 619.0
2457909.77947 16.341 0.008 4.29 794.0
2457909.82669 16.349 0.007 4.19 717.0
2457909.86664 16.334 0.007 3.83 675.0
2457909.91129 16.368 0.008 5.13 824.0
2457909.94097 16.342 0.008 5.05 932.0
2457910.58112 16.380 0.011 6.93 749.0
2457910.62704 16.354 0.008 5.39 665.0
2457910.68349 16.342 0.007 4.42 620.0
2457910.74337 16.341 0.007 4.48 598.0
2457910.79065 16.317 0.007 3.94 643.0
2457910.84960 16.349 0.007 4.13 1078.0
